Step,002-S21F2,1-57,2-15,C118,CC12.1,CC6.31,4A8
0,1700,31.7274779,1700,163.5047374,440.9437364,58.47461264,76.44
1,1700,31.7274779,360.9336372,89.80542192,32.79033651,58.47461264,110.04
2,1700,28.90839599,53.85243661,55.75383629,31.11343123,57.17330504,53.87
3,1700,28.90839599,45.78408184,50.14005128,29.49706756,45.05079828,52.54
4,145.8578186,31.42066954,47.64915298,42.02082457,22.63817909,44.04822735,68.4
5,54.95614701,36.18642188,26.52098199,47.99638531,23.05155792,44.04822735,61.68
6,41.84244711,,36.42147996,43.21450494,24.27420602,,65.2
